file,rows
ProjectDataAhmedabadGujrat.csv,332339
ProjectDataAizawlMizoram.csv,5666
ProjectDataBangaloreKarnataka.csv,310000
ProjectDataBargarhOdisha.csv,139149
ProjectDataChandigarhChandigarh.csv,38279
ProjectDataChennaiTamilNadu.csv,604
ProjectDataChittorAndhraPradesh.csv,143672
ProjectDataDehradoonUttarakhand.csv,213490
ProjectDataDelhiNCTofDelhi.csv,748860
ProjectDataDimapurNagaland.csv,26186
ProjectDataEastKhasiHillMeghalaya.csv,73603
ProjectDataErnakulamKerela.csv,130000
ProjectDataImphalWestManipur.csv,47131
ProjectDataIndoreMadhyaPradesh.csv,217418
ProjectDataJaipurRajasthan.csv,280326
ProjectDataJammuJammuAndKashmir.csv,70000
ProjectDataKamrupAssam.csv,96677
ProjectDataKarnalHaryana.csv,194601
ProjectDataKolkataWestBengal.csv,154304
ProjectDataLucknowUttarPradesh.csv,174112
ProjectDataLudhianaPunjab.csv,456035
ProjectDataNashikMaharashtra.csv,427554
ProjectDataNorthGoaGoa.csv,89590
ProjectDataPapumPoreAruachalPradesh.csv,823
ProjectDataPatnaBihar.csv,23588
ProjectDataPondicherryPondicherry.csv,66025
ProjectDataRaipurChattisgarh.csv,64445
ProjectDataRanchiJharkhand.csv,130458
ProjectDataRangaReddyTelangana.csv,157689
ProjectDataShimlaHimachalPradesh.csv,75076
ProjectDataSouthAndamanAndamanAndNicobar.csv,5804
ProjectDataWestDistrictTripura.csv,51277
